operation_id,timestamp,symbol,side,quantity,price,total_value,commission,net_value,exchange,tax_year
BTCUSDT_2026-02-13T00:02:06.934128_1507572851328,2026-02-13T00:02:06.934128,BTCUSDT,buy,0.001106569796651623,66284.015445,73.35,0.07,73.27,Binance,2026
BTCUSDT_2026-02-13T00:02:31.007095_1507573242112,2026-02-13T00:02:31.007095,BTCUSDT,buy,0.000551330328449215,66419.193,36.62,0.04,36.58,Binance,2026
BTCUSDT_2026-02-13T00:02:58.027758_1507574495232,2026-02-13T00:02:58.027758,BTCUSDT,buy,0.0002751105047780418,66453.24001499999,18.28,0.02,18.26,Binance,2026
BTCUSDT_2026-02-13T00:03:22.056864_1507573572096,2026-02-13T00:03:22.056864,BTCUSDT,buy,0.00013734000076385953,66457.522155,9.13,0.01,9.12,Binance,2026
BTCUSDT_2026-02-13T00:06:37.602590_1509678810816,2026-02-13T00:06:37.602590,BTCUSDT,sell,0.0020749964741003622,66493.81646,137.97,0.14,137.84,Binance,2026
BTCUSDT_2026-02-13T00:07:01.621958_1507573018816,2026-02-13T00:07:01.621958,BTCUSDT,buy,0.0011044035483135206,66560.34354,73.51,0.07,73.44,Binance,2026
BTCUSDT_2026-02-13T00:07:25.697684_1507574411008,2026-02-13T00:07:25.697684,BTCUSDT,buy,0.000551777861311937,66511.529145,36.7,0.04,36.66,Binance,2026
BTCUSDT_2026-02-13T00:07:49.770991_1507574471040,2026-02-13T00:07:49.770991,BTCUSDT,buy,0.0002754914527599502,66507.547155,18.32,0.02,18.3,Binance,2026
BTCUSDT_2026-02-13T00:08:14.150800_1507574481664,2026-02-13T00:08:14.150800,BTCUSDT,buy,0.00013760892572543042,66473.770275,9.15,0.01,9.14,Binance,2026
BTCUSDT_2026-02-13T00:11:38.397774_1507573010240,2026-02-13T00:11:38.397774,BTCUSDT,sell,0.00207223743106923,66393.716535,137.58,0.14,137.45,Binance,2026
BTCUSDT_2026-02-13T00:11:59.493429_1509678792576,2026-02-13T00:11:59.493429,BTCUSDT,buy,0.0011032803636015596,66460.14346499999,73.32,0.07,73.25,Binance,2026
BTCUSDT_2026-02-13T00:12:23.544483_1507572857024,2026-02-13T00:12:23.544483,BTCUSDT,buy,0.0005509527821810793,66443.21500499999,36.61,0.04,36.57,Binance,2026
BTCUSDT_2026-02-13T00:12:47.607675_1507574474112,2026-02-13T00:12:47.607675,BTCUSDT,buy,0.00027519883555057544,66410.42862,18.28,0.02,18.26,Binance,2026
BTCUSDT_2026-02-13T00:13:12.121915_1507574715712,2026-02-13T00:13:12.121915,BTCUSDT,buy,0.00013737498563595193,66419.11296,9.12,0.01,9.12,Binance,2026
BTCUSDT_2026-02-13T00:16:39.146485_1507574769792,2026-02-13T00:16:39.146485,BTCUSDT,sell,0.0020688115337643012,66298.0344,137.16,0.14,137.02,Binance,2026
BTCUSDT_2026-02-13T00:16:57.196027_1507573267008,2026-02-13T00:16:57.196027,BTCUSDT,buy,0.0011014956814721219,66364.36559999999,73.1,0.07,73.03,Binance,2026
BTCUSDT_2026-02-13T00:17:21.276183_1507573572416,2026-02-13T00:17:21.276183,BTCUSDT,buy,0.0005503869365687726,66308.23755,36.5,0.04,36.46,Binance,2026
BTCUSDT_2026-02-13T00:17:45.346332_1507573257408,2026-02-13T00:17:45.346332,BTCUSDT,buy,0.0002749122824832259,66276.46166999999,18.22,0.02,18.2,Binance,2026
BTCUSDT_2026-02-13T00:18:09.699170_1507574836224,2026-02-13T00:18:09.699170,BTCUSDT,buy,0.00013736563956060307,66220.61376000001,9.1,0.01,9.09,Binance,2026
BTCUSDT_2026-02-13T00:21:39.933870_1507573245248,2026-02-13T00:21:39.933870,BTCUSDT,sell,0.0020668472575670763,66170.907995,136.77,0.14,136.63,Binance,2026
BTCUSDT_2026-02-13T00:22:16.006417_1507573546304,2026-02-13T00:22:16.006417,BTCUSDT,buy,0.0011013351715323506,66183.075,72.89,0.07,72.82,Binance,2026
BTCUSDT_2026-02-13T00:22:52.103905_1507573263808,2026-02-13T00:22:52.103905,BTCUSDT,buy,0.0005498185350131294,66185.81637,36.39,0.04,36.35,Binance,2026
BTCUSDT_2026-02-13T00:23:28.193618_1507574402432,2026-02-13T00:23:28.193618,BTCUSDT,buy,0.0002746106324795476,66158.372655,18.17,0.02,18.15,Binance,2026
BTCUSDT_2026-02-13T00:24:04.261600_1507574833600,2026-02-13T00:24:04.261600,BTCUSDT,buy,0.00013710138370346862,66157.36215,9.07,0.01,9.06,Binance,2026
BTCUSDT_2026-02-13T00:26:40.710034_1507573454464,2026-02-13T00:26:40.710034,BTCUSDT,sell,0.002065123970535909,66034.496235,136.37,0.14,136.23,Binance,2026
BTCUSDT_2026-02-13T00:27:07.785870_1507573464320,2026-02-13T00:27:07.785870,BTCUSDT,buy,0.0010999268623942883,66076.131555,72.68,0.07,72.61,Binance,2026
BTCUSDT_2026-02-13T00:27:43.882968_1507572853376,2026-02-13T00:27:43.882968,BTCUSDT,buy,0.0005490960580414017,66081.20408999998,36.28,0.04,36.25,Binance,2026
BTCUSDT_2026-02-13T00:28:19.980169_1507573432448,2026-02-13T00:28:19.980169,BTCUSDT,buy,0.0002741401372994849,66080.2236,18.12,0.02,18.1,Binance,2026
BTCUSDT_2026-02-13T00:28:56.101631_1507573396544,2026-02-13T00:28:56.101631,BTCUSDT,buy,0.00013684431813576096,66089.918445,9.04,0.01,9.03,Binance,2026
BTCUSDT_2026-02-13T00:31:41.695773_1507572902144,2026-02-13T00:31:41.695773,BTCUSDT,sell,0.002061366546668453,66069.49872500001,136.19,0.14,136.06,Binance,2026
BTCUSDT_2026-02-13T00:31:57.500631_1507572993920,2026-02-13T00:31:57.500631,BTCUSDT,buy,0.0010976035071227717,66123.94544999998,72.58,0.07,72.51,Binance,2026
BTCUSDT_2026-02-13T00:32:35.872951_1507572902080,2026-02-13T00:32:35.872951,BTCUSDT,buy,0.0005480468540118275,66115.671315,36.23,0.04,36.2,Binance,2026
BTCUSDT_2026-02-13T00:33:11.992423_1509678783040,2026-02-13T00:33:11.992423,BTCUSDT,buy,0.0002738914820749354,66048.26762999999,18.09,0.02,18.07,Binance,2026
BTCUSDT_2026-02-13T00:33:48.038114_1507573239744,2026-02-13T00:33:48.038114,BTCUSDT,buy,0.0001368963003975284,65972.98000499999,9.03,0.01,9.02,Binance,2026
BTCUSDT_2026-02-13T00:36:42.588648_1509678787008,2026-02-13T00:36:42.588648,BTCUSDT,sell,0.0020584658814405306,65992.60719,135.84,0.14,135.71,Binance,2026
BTCUSDT_2026-02-13T00:37:06.641519_1507573266496,2026-02-13T00:37:06.641519,BTCUSDT,buy,0.0010959142310133273,66060.57377999999,72.4,0.07,72.32,Binance,2026
BTCUSDT_2026-02-13T00:37:42.753189_1507572905792,2026-02-13T00:37:42.753189,BTCUSDT,buy,0.0005470863514933076,66066.43671,36.14,0.04,36.11,Binance,2026
BTCUSDT_2026-02-13T00:38:18.836099_1507574177792,2026-02-13T00:38:18.836099,BTCUSDT,buy,0.0002730823122626708,66078.632805,18.04,0.02,18.03,Binance,2026
BTCUSDT_2026-02-13T00:39:40.345025_1507572895616,2026-02-13T00:39:40.345025,BTCUSDT,buy,0.00013628324490474176,66104.345655,9.01,0.01,9.0,Binance,2026
BTCUSDT_2026-02-13T00:41:43.350656_1507572997568,2026-02-13T00:41:43.350656,BTCUSDT,sell,0.002055046036308246,66064.05145000001,135.76,0.14,135.63,Binance,2026
BTCUSDT_2026-02-13T00:42:07.419428_1507572990912,2026-02-13T00:42:07.419428,BTCUSDT,buy,0.0010941316410304441,66121.894425,72.35,0.07,72.27,Binance,2026
BTCUSDT_2026-02-13T00:42:43.569851_1507572994816,2026-02-13T00:42:43.569851,BTCUSDT,buy,0.0005463304249483488,66111.54925499999,36.12,0.04,36.08,Binance,2026
BTCUSDT_2026-02-13T00:43:19.688560_1507573248832,2026-02-13T00:43:19.688560,BTCUSDT,buy,0.00027275545190530356,66111.51924,18.03,0.02,18.01,Binance,2026
BTCUSDT_2026-02-13T00:43:55.796967_1507572906624,2026-02-13T00:43:55.796967,BTCUSDT,buy,0.00013620163893654063,66097.662315,9.0,0.01,8.99,Binance,2026
BTCUSDT_2026-02-13T00:46:44.224816_1507573441792,2026-02-13T00:46:44.224816,BTCUSDT,sell,0.0020519061215838875,65923.96153,135.27,0.14,135.13,Binance,2026
BTCUSDT_2026-02-13T00:46:59.262993_1507573462272,2026-02-13T00:46:59.262993,BTCUSDT,buy,0.0010917883534182862,66034.40069999998,72.1,0.07,72.02,Binance,2026
BTCUSDT_2026-02-13T00:47:35.340881_1507573453184,2026-02-13T00:47:35.340881,BTCUSDT,buy,0.0005453134255063494,66005.536275,35.99,0.04,35.96,Binance,2026
BTCUSDT_2026-02-13T00:48:11.433515_1507574773760,2026-02-13T00:48:11.433515,BTCUSDT,buy,0.0002723037257732686,65991.929475,17.97,0.02,17.95,Binance,2026
BTCUSDT_2026-02-13T00:48:47.566244_1507574495616,2026-02-13T00:48:47.566244,BTCUSDT,buy,0.00013611813012349798,65909.23815,8.97,0.01,8.96,Binance,2026
BTCUSDT_2026-02-13T00:51:45.109364_1507573576192,2026-02-13T00:51:45.109364,BTCUSDT,sell,0.002049197987525391,65900.24339500001,135.04,0.14,134.91,Binance,2026
BTCUSDT_2026-02-13T00:52:12.201932_1507572994624,2026-02-13T00:52:12.201932,BTCUSDT,buy,0.001091907177751625,65909.008035,71.97,0.07,71.89,Binance,2026
BTCUSDT_2026-02-13T00:53:27.684822_1507573255488,2026-02-13T00:53:27.684822,BTCUSDT,buy,0.0005445793575963244,65976.181605,35.93,0.04,35.89,Binance,2026
BTCUSDT_2026-02-13T00:54:18.501060_1507574398848,2026-02-13T00:54:18.501060,BTCUSDT,buy,0.000271799292039928,65996.04152999999,17.94,0.02,17.92,Binance,2026
BTCUSDT_2026-02-13T02:03:29.462447_1507573568768,2026-02-13T02:03:29.462447,BTCUSDT,buy,0.00013470385512717248,66481.994385,8.96,0.01,8.95,Binance,2026
BTCUSDT_2026-02-13T02:03:29.501635_1509678770816,2026-02-13T02:03:29.501635,BTCUSDT,sell,0.0020463836120054655,66415.54561500001,135.91,0.14,135.78,Binance,2026
BTCUSDT_2026-02-13T02:04:20.388045_1507573534592,2026-02-13T02:04:20.388045,BTCUSDT,buy,0.0010891954111557076,66464.47562999999,72.39,0.07,72.32,Binance,2026
BTCUSDT_2026-02-13T02:05:41.911111_1507573566016,2026-02-13T02:05:41.911111,BTCUSDT,buy,0.0005437554899008223,66467.53716,36.14,0.04,36.11,Binance,2026
BTCUSDT_2026-02-13T02:52:34.136485_1507573260032,2026-02-13T02:52:34.136485,BTCUSDT,buy,0.0002704084988939822,66728.40753,18.04,0.02,18.03,Binance,2026
BTCUSDT_2026-02-13T02:52:34.177496_1507572853568,2026-02-13T02:52:34.177496,BTCUSDT,sell,0.001907395073100721,66661.71247,127.15,0.13,127.02,Binance,2026
BTCUSDT_2026-02-13T02:53:12.999844_1507573574208,2026-02-13T02:53:12.999844,BTCUSDT,buy,0.0010871698978863352,66734.480565,72.55,0.07,72.48,Binance,2026
BTCUSDT_2026-02-13T02:53:49.069482_1507573008064,2026-02-13T02:53:49.069482,BTCUSDT,buy,0.0005428095825145932,66729.52808999999,36.22,0.04,36.19,Binance,2026
BTCUSDT_2026-02-13T02:54:25.146969_1507573577984,2026-02-13T02:54:25.146969,BTCUSDT,buy,0.00027106737151894646,66712.3395,18.08,0.02,18.07,Binance,2026
BTCUSDT_2026-02-13T02:55:01.203359_1507573575744,2026-02-13T02:55:01.203359,BTCUSDT,buy,0.00013530681901674065,66723.92529,9.03,0.01,9.02,Binance,2026
BTCUSDT_2026-02-13T02:57:34.712828_1507574762944,2026-02-13T02:57:34.712828,BTCUSDT,sell,0.002038582130256249,66676.645,135.93,0.14,135.79,Binance,2026
BTCUSDT_2026-02-13T02:58:01.777368_1507573563904,2026-02-13T02:58:01.777368,BTCUSDT,buy,0.0010852948686584942,66743.355,72.44,0.07,72.36,Binance,2026
BTCUSDT_2026-02-13T02:58:38.168622_1507574400704,2026-02-13T02:58:38.168622,BTCUSDT,buy,0.0005417259997809273,66756.56159999999,36.16,0.04,36.13,Binance,2026
BTCUSDT_2026-02-13T02:59:16.940917_1507574840832,2026-02-13T02:59:16.940917,BTCUSDT,buy,0.0002704485849747087,66758.532585,18.05,0.02,18.04,Binance,2026
BTCUSDT_2026-02-13T02:59:53.080632_1507573535360,2026-02-13T02:59:53.080632,BTCUSDT,buy,0.00013509468053052805,66722.314485,9.01,0.01,9.0,Binance,2026
BTCUSDT_2026-02-13T03:02:35.493969_1507572843712,2026-02-13T03:02:35.493969,BTCUSDT,sell,0.002035583027922012,66734.29616,135.84,0.14,135.71,Binance,2026
BTCUSDT_2026-02-13T03:02:53.605451_1507572856448,2026-02-13T03:02:53.605451,BTCUSDT,buy,0.0010836318114372503,66801.06383999999,72.39,0.07,72.32,Binance,2026
BTCUSDT_2026-02-13T03:03:29.693143_1507574826368,2026-02-13T03:03:29.693143,BTCUSDT,buy,0.0005410364584849444,66796.92176999999,36.14,0.04,36.1,Binance,2026
BTCUSDT_2026-02-13T03:04:05.783550_1507572851328,2026-02-13T03:04:05.783550,BTCUSDT,buy,0.0002702680080181772,66758.44254,18.04,0.02,18.02,Binance,2026
BTCUSDT_2026-02-13T03:04:42.132675_1507573458304,2026-02-13T03:04:42.132675,BTCUSDT,buy,0.00013492187331506168,66763.074855,9.01,0.01,9.0,Binance,2026
BTCUSDT_2026-02-13T03:07:36.214361_1507572842560,2026-02-13T03:07:36.214361,BTCUSDT,sell,0.0020313646993974674,66500.41316,135.09,0.14,134.95,Binance,2026
BTCUSDT_2026-02-13T03:07:45.235484_1507574833984,2026-02-13T03:07:45.235484,BTCUSDT,buy,0.0010817175092966889,66566.94683999999,72.01,0.07,71.93,Binance,2026
BTCUSDT_2026-02-13T03:08:21.328248_1507574761408,2026-02-13T03:08:21.328248,BTCUSDT,buy,0.0005398012037940832,66597.28199999999,35.95,0.04,35.91,Binance,2026
BTCUSDT_2026-02-13T03:08:57.452098_1507573238976,2026-02-13T03:08:57.452098,BTCUSDT,buy,0.0002697089472149615,66544.605675,17.95,0.02,17.93,Binance,2026
BTCUSDT_2026-02-13T03:09:33.592092_1507574492288,2026-02-13T03:09:33.592092,BTCUSDT,buy,0.0001345728715396455,66583.79526,8.96,0.01,8.95,Binance,2026
BTCUSDT_2026-02-13T03:12:37.130302_1507572893952,2026-02-13T03:12:37.130302,BTCUSDT,sell,0.0020280584878355845,66522.86193,134.91,0.13,134.78,Binance,2026
BTCUSDT_2026-02-13T03:13:13.330290_1507574765056,2026-02-13T03:13:13.330290,BTCUSDT,buy,0.0010798071038703456,66582.104415,71.9,0.07,71.82,Binance,2026
BTCUSDT_2026-02-13T03:13:49.485446_1507574761984,2026-02-13T03:13:49.485446,BTCUSDT,buy,0.0005389027221892015,66605.66619,35.89,0.04,35.86,Binance,2026
BTCUSDT_2026-02-13T03:14:25.573368_1507572897536,2026-02-13T03:14:25.573368,BTCUSDT,buy,0.00026912616320324135,66586.086405,17.92,0.02,17.9,Binance,2026
BTCUSDT_2026-02-13T03:15:01.727104_1507572802304,2026-02-13T03:15:01.727104,BTCUSDT,buy,0.0001343276447093468,66602.70470999999,8.95,0.01,8.94,Binance,2026
BTCUSDT_2026-02-13T03:17:56.557216_1507573004864,2026-02-13T03:17:56.557216,BTCUSDT,sell,0.002024379460379106,66518.514105,134.66,0.13,134.52,Binance,2026
BTCUSDT_2026-02-13T03:18:35.374941_1507574763648,2026-02-13T03:18:35.374941,BTCUSDT,buy,0.0010777260404009462,66586.71672,71.76,0.07,71.69,Binance,2026
BTCUSDT_2026-02-13T03:19:11.468376_1507575632192,2026-02-13T03:19:11.468376,BTCUSDT,buy,0.000537791352086211,66619.29299999999,35.83,0.04,35.79,Binance,2026
BTCUSDT_2026-02-13T03:19:47.536086_1507575632000,2026-02-13T03:19:47.536086,BTCUSDT,buy,0.00026850542455212066,66616.01136,17.89,0.02,17.87,Binance,2026
BTCUSDT_2026-02-13T03:20:23.576967_1507573418368,2026-02-13T03:20:23.576967,BTCUSDT,buy,0.00013401167608453746,66635.69119499999,8.93,0.01,8.92,Binance,2026
BTCUSDT_2026-02-13T03:30:04.375461_1507575646272,2026-02-13T03:30:04.375461,BTCUSDT,sell,0.002020257809661686,66657.964345,134.67,0.13,134.53,Binance,2026
